command	profile	checkpoint	source	heading	reason	observed_words	repeat_classification	authority	dynamic	charged
TOTAL	/tfw-review	before=25182	after=25090	reduction=0.4%
/tfw-resume	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-resume	before	command dispatch	.agents/skills/tfw-resume/SKILL.md	*	selected command contract	176	once	adapter	False	True
/tfw-resume	before	skill contract	AGENTS.md	*	skill-mandated context	363	repeated	adapter	False	True
/tfw-resume	before	skill contract	.tfw/conventions.md	*	skill-mandated context	9361	once	adapter	False	True
/tfw-resume	before	skill contract	.tfw/glossary.md	*	skill-mandated context	2355	once	adapter	False	True
/tfw-resume	before	skill contract	KNOWLEDGE.md	*	skill-mandated context	14154	once	adapter	False	True
/tfw-resume	before	canonical dispatch	.tfw/workflows/resume.md	*	canonical command algorithm	755	once	workflow	False	True
/tfw-resume	before	legacy context guard	.tfw/conventions.md	Context Selection	legacy core-context verification	180	repeated	shared rule	False	True
/tfw-resume	before	task selection	<selected task/phase status and journal>	@dynamic	authoritative current state	0	once	task-local	True	False
/tfw-resume	before	lineage	<governing HL/TS/REVIEW/RF lineage>	@dynamic	current artifacts and user decision	0	once	governing artifacts	True	False
/tfw-resume	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-resume	after	command dispatch	.agents/skills/tfw-resume/SKILL.md	*	selected command contract	145	once	adapter	False	True
/tfw-resume	after	canonical dispatch	.tfw/workflows/resume.md	*	canonical command algorithm	559	once	workflow	False	True
/tfw-resume	after	workflow read contract	.tfw/project_config.yaml	@task-containers	current state before derived or global material	3	once	task-local/project config	False	True
/tfw-resume	after	workflow read contract	.tfw/conventions.md	Task control files	authority, lineage, state meaning, and return routing	167	once	shared rule	False	True
/tfw-resume	after	workflow read contract	.tfw/conventions.md	Artifact file naming	authority, lineage, state meaning, and return routing	554	repeated	shared rule	False	True
/tfw-resume	after	workflow read contract	.tfw/conventions.md	Task Statuses	authority, lineage, state meaning, and return routing	1042	repeated	shared rule	False	True
/tfw-resume	after	workflow read contract	.tfw/conventions.md	The 🔄 REVISE route	authority, lineage, state meaning, and return routing	431	repeated	shared rule	False	True
/tfw-resume	after	task selection	<selected task/phase status and journal>	@dynamic	authoritative current state	0	once	task-local	True	False
/tfw-resume	after	lineage	<governing HL/TS/REVIEW/RF lineage>	@dynamic	current artifacts and user decision	0	once	governing artifacts	True	False
TOTAL	/tfw-resume	before=27707	after=3264	reduction=88.2%
/tfw-docs	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-docs	before	command dispatch	.agents/skills/tfw-docs/SKILL.md	*	selected command contract	149	once	adapter	False	True
/tfw-docs	before	skill contract	AGENTS.md	*	skill-mandated context	363	repeated	adapter	False	True
/tfw-docs	before	skill contract	.tfw/conventions.md	*	skill-mandated context	9361	once	adapter	False	True
/tfw-docs	before	skill contract	.tfw/glossary.md	*	skill-mandated context	2355	once	adapter	False	True
/tfw-docs	before	skill contract	KNOWLEDGE.md	*	skill-mandated context	14154	once	adapter	False	True
/tfw-docs	before	canonical dispatch	.tfw/workflows/docs.md	*	canonical command algorithm	438	once	workflow	False	True
/tfw-docs	before	legacy prerequisites	KNOWLEDGE.md	*	documentation preload	14154	repeated	workflow	False	True
/tfw-docs	before	selection	<selected status, journal, REVIEW, and RF>	@dynamic	live verdict and documentation changes	0	once	task-local/governing artifacts	True	False
/tfw-docs	before	convention trigger	<named conventions heading>	@dynamic	checklist item 4 only	0	once	shared rule	True	False
/tfw-docs	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-docs	after	command dispatch	.agents/skills/tfw-docs/SKILL.md	*	selected command contract	123	once	adapter	False	True
/tfw-docs	after	canonical dispatch	.tfw/workflows/docs.md	*	canonical command algorithm	443	once	workflow	False	True
/tfw-docs	after	workflow read contract	KNOWLEDGE.md	Architecture Map	current documentation and exact write destinations	8686	once	project documentation	False	True
/tfw-docs	after	workflow read contract	KNOWLEDGE.md	Key Artifacts	current documentation and exact write destinations	2340	repeated	project documentation	False	True
/tfw-docs	after	workflow read contract	KNOWLEDGE.md	Legacy & Deprecation	current documentation and exact write destinations	2892	repeated	project documentation	False	True
/tfw-docs	after	selection	<selected status, journal, REVIEW, and RF>	@dynamic	live verdict and documentation changes	0	once	task-local/governing artifacts	True	False
/tfw-docs	after	convention trigger	<named conventions heading>	@dynamic	checklist item 4 only	0	once	shared rule	True	False
TOTAL	/tfw-docs	before=41337	after=14847	reduction=64.1%
/tfw-knowledge	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-knowledge	before	command dispatch	.agents/skills/tfw-knowledge/SKILL.md	*	selected command contract	162	once	adapter	False	True
/tfw-knowledge	before	skill contract	AGENTS.md	*	skill-mandated context	363	repeated	adapter	False	True
/tfw-knowledge	before	skill contract	.tfw/conventions.md	*	skill-mandated context	9361	once	adapter	False	True
/tfw-knowledge	before	skill contract	.tfw/glossary.md	*	skill-mandated context	2355	once	adapter	False	True
/tfw-knowledge	before	skill contract	.tfw/project_config.yaml	*	skill-mandated context	540	once	adapter	False	True
/tfw-knowledge	before	skill contract	.tfw/knowledge_state.yaml	*	skill-mandated context	197	once	adapter	False	True
/tfw-knowledge	before	skill contract	KNOWLEDGE.md	*	skill-mandated context	14154	once	adapter	False	True
/tfw-knowledge	before	canonical dispatch	.tfw/workflows/knowledge.md	*	canonical command algorithm	1021	once	workflow	False	True
/tfw-knowledge	before	workflow read contract	.tfw/project_config.yaml	@yaml-knowledge	limits, gate mode, processed digest state	28	repeated	project config/state	False	True
/tfw-knowledge	before	workflow read contract	.tfw/knowledge_state.yaml	*	limits, gate mode, processed digest state	197	repeated	project config/state	False	True
/tfw-knowledge	before	workflow read contract	.tfw/conventions.md	Fact Categories	category and file ownership	174	repeated	shared rule	False	True
/tfw-knowledge	before	workflow read contract	.tfw/conventions.md	Knowledge Infrastructure	category and file ownership	77	repeated	shared rule	False	True
/tfw-knowledge	before	workflow read contract	KNOWLEDGE.md	Project Facts	existing facts, counts, and output form	205	repeated	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	knowledge/constraint.md	*	existing facts, counts, and output form	855	once	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	knowledge/context.md	*	existing facts, counts, and output form	175	once	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	knowledge/convention.md	*	existing facts, counts, and output form	1247	once	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	knowledge/domain.md	*	existing facts, counts, and output form	301	once	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	knowledge/environment.md	*	existing facts, counts, and output form	450	once	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	knowledge/philosophy.md	*	existing facts, counts, and output form	3134	once	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	knowledge/process.md	*	existing facts, counts, and output form	4108	once	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	knowledge/risk.md	*	existing facts, counts, and output form	383	once	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	knowledge/stakeholder.md	*	existing facts, counts, and output form	1234	once	project knowledge/template	False	True
/tfw-knowledge	before	workflow read contract	.tfw/templates/knowledge/topic.md	*	existing facts, counts, and output form	53	once	project knowledge/template	False	True
/tfw-knowledge	before	pending batch	<pending task knowledge headings>	@dynamic	candidate and insight inputs	0	once	task artifacts	True	False
/tfw-knowledge	before	human input	<approved conversation facts>	@dynamic	human-only knowledge	0	once	user	True	False
/tfw-knowledge	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-knowledge	after	command dispatch	.agents/skills/tfw-knowledge/SKILL.md	*	selected command contract	143	once	adapter	False	True
/tfw-knowledge	after	canonical dispatch	.tfw/workflows/knowledge.md	*	canonical command algorithm	1021	once	workflow	False	True
/tfw-knowledge	after	workflow read contract	.tfw/project_config.yaml	@yaml-knowledge	limits, gate mode, processed digest state	28	once	project config/state	False	True
/tfw-knowledge	after	workflow read contract	.tfw/knowledge_state.yaml	*	limits, gate mode, processed digest state	197	once	project config/state	False	True
/tfw-knowledge	after	workflow read contract	.tfw/conventions.md	Fact Categories	category and file ownership	174	once	shared rule	False	True
/tfw-knowledge	after	workflow read contract	.tfw/conventions.md	Knowledge Infrastructure	category and file ownership	77	repeated	shared rule	False	True
/tfw-knowledge	after	workflow read contract	KNOWLEDGE.md	Project Facts	existing facts, counts, and output form	205	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	knowledge/constraint.md	*	existing facts, counts, and output form	855	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	knowledge/context.md	*	existing facts, counts, and output form	175	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	knowledge/convention.md	*	existing facts, counts, and output form	1247	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	knowledge/domain.md	*	existing facts, counts, and output form	301	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	knowledge/environment.md	*	existing facts, counts, and output form	450	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	knowledge/philosophy.md	*	existing facts, counts, and output form	3134	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	knowledge/process.md	*	existing facts, counts, and output form	4108	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	knowledge/risk.md	*	existing facts, counts, and output form	383	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	knowledge/stakeholder.md	*	existing facts, counts, and output form	1234	once	project knowledge/template	False	True
/tfw-knowledge	after	workflow read contract	.tfw/templates/knowledge/topic.md	*	existing facts, counts, and output form	53	once	project knowledge/template	False	True
/tfw-knowledge	after	pending batch	<pending task knowledge headings>	@dynamic	candidate and insight inputs	0	once	task artifacts	True	False
/tfw-knowledge	after	human input	<approved conversation facts>	@dynamic	human-only knowledge	0	once	user	True	False
TOTAL	/tfw-knowledge	before=41137	after=14148	reduction=65.6%
/tfw-release	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-release	before	command dispatch	.agents/skills/tfw-release/SKILL.md	*	selected command contract	157	once	adapter	False	True
/tfw-release	before	skill contract	AGENTS.md	*	skill-mandated context	363	repeated	adapter	False	True
/tfw-release	before	skill contract	.tfw/conventions.md	*	skill-mandated context	9361	once	adapter	False	True
/tfw-release	before	skill contract	.tfw/glossary.md	*	skill-mandated context	2355	once	adapter	False	True
/tfw-release	before	skill contract	RELEASE.md	*	skill-mandated context	682	once	adapter	False	True
/tfw-release	before	skill contract	.tfw/VERSION	*	skill-mandated context	1	once	adapter	False	True
/tfw-release	before	skill contract	.tfw/CHANGELOG.md	*	skill-mandated context	26073	once	adapter	False	True
/tfw-release	before	canonical dispatch	.tfw/workflows/release.md	*	canonical command algorithm	513	once	workflow	False	True
/tfw-release	before	legacy prerequisites	RELEASE.md	*	release preload	682	repeated	workflow	False	True
/tfw-release	before	legacy prerequisites	.tfw/CHANGELOG.md	*	release preload	26073	repeated	workflow	False	True
/tfw-release	before	legacy prerequisites	.tfw/VERSION	*	release preload	1	repeated	workflow	False	True
/tfw-release	before	legacy release step	RELEASE.md	Version Scheme	re-read project release rule	80	repeated	project release contract	False	True
/tfw-release	before	legacy release step	RELEASE.md	Release Triggers	re-read project release rule	53	repeated	project release contract	False	True
/tfw-release	before	legacy release step	RELEASE.md	Pre-Release Checklist	re-read project release rule	342	repeated	project release contract	False	True
/tfw-release	before	legacy release step	RELEASE.md	Release Steps	re-read project release rule	105	repeated	project release contract	False	True
/tfw-release	before	task discovery	.tfw/project_config.yaml	@task-containers	configured task locations	3	once	project config	False	True
/tfw-release	before	release scope	<DONE status and referenced task artifacts since tag>	@dynamic	authoritative release contents	0	once	task-local/governing artifacts	True	False
/tfw-release	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-release	after	command dispatch	.agents/skills/tfw-release/SKILL.md	*	selected command contract	140	once	adapter	False	True
/tfw-release	after	canonical dispatch	.tfw/workflows/release.md	*	canonical command algorithm	466	once	workflow	False	True
/tfw-release	after	workflow read contract	RELEASE.md	What Is a Release?	exact project release contract	49	once	project release contract	False	True
/tfw-release	after	workflow read contract	RELEASE.md	Version Scheme	exact project release contract	80	repeated	project release contract	False	True
/tfw-release	after	workflow read contract	RELEASE.md	Release Triggers	exact project release contract	53	repeated	project release contract	False	True
/tfw-release	after	workflow read contract	RELEASE.md	Pre-Release Checklist	exact project release contract	342	repeated	project release contract	False	True
/tfw-release	after	workflow read contract	RELEASE.md	Release Steps	exact project release contract	105	repeated	project release contract	False	True
/tfw-release	after	workflow read contract	.tfw/VERSION	*	installed version and task locations	1	once	version/config	False	True
/tfw-release	after	workflow read contract	.tfw/project_config.yaml	@task-containers	installed version and task locations	3	once	version/config	False	True
/tfw-release	after	workflow read contract	.tfw/CHANGELOG.md	@unreleased	only unreleased material	665	once	changelog	False	True
/tfw-release	after	release scope	<DONE status and referenced task artifacts since tag>	@dynamic	authoritative release contents	0	once	task-local/governing artifacts	True	False
TOTAL	/tfw-release	before=67207	after=2267	reduction=96.6%
/tfw-update	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-update	before	command dispatch	.agents/skills/tfw-update/SKILL.md	*	selected command contract	173	once	adapter	False	True
/tfw-update	before	skill contract	AGENTS.md	*	skill-mandated context	363	repeated	adapter	False	True
/tfw-update	before	skill contract	.tfw/conventions.md	*	skill-mandated context	9361	once	adapter	False	True
/tfw-update	before	skill contract	.tfw/glossary.md	*	skill-mandated context	2355	once	adapter	False	True
/tfw-update	before	skill contract	.tfw/project_config.yaml	*	skill-mandated context	540	once	adapter	False	True
/tfw-update	before	skill contract	.tfw/VERSION	*	skill-mandated context	1	once	adapter	False	True
/tfw-update	before	skill contract	.tfw/CHANGELOG.md	*	skill-mandated context	26073	once	adapter	False	True
/tfw-update	before	skill contract	.tfw/adapters/README.md	*	skill-mandated context	210	once	adapter	False	True
/tfw-update	before	canonical dispatch	.tfw/workflows/update.md	*	canonical command algorithm	1165	once	workflow	False	True
/tfw-update	before	legacy update gate	.tfw/adapters/manifest.yaml	*	adapter sync or briefing form	172	once	tooling metadata/template	False	True
/tfw-update	before	legacy update gate	.tfw/templates/briefing.md	*	adapter sync or briefing form	410	once	tooling metadata/template	False	True
/tfw-update	before	pinned target	<pinned target workflow and VERSION>	@dynamic	target-owned update algorithm	0	once	pinned target	True	False
/tfw-update	before	version delta	<intervening changelog and migration ranges>	@dynamic	only required version changes	0	once	pinned target history	True	False
/tfw-update	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-update	after	command dispatch	.agents/skills/tfw-update/SKILL.md	*	selected command contract	128	once	adapter	False	True
/tfw-update	after	canonical dispatch	.tfw/workflows/update.md	*	canonical command algorithm	756	once	workflow	False	True
/tfw-update	after	workflow read contract	.tfw/project_config.yaml	*	source, installed version/provenance, and state to preserve	540	once	installed config/version	False	True
/tfw-update	after	workflow read contract	.tfw/VERSION	*	source, installed version/provenance, and state to preserve	1	once	installed config/version	False	True
/tfw-update	after	workflow read contract	.tfw/VERSION	*	pin one immutable payload	1	repeated	owner/Git object	False	True
/tfw-update	after	workflow read contract	<.tfw/.upstream/.tfw/workflows/update.md>	@dynamic	target algorithm from Step 1 onward	0	once	pinned target	True	False
/tfw-update	after	workflow read contract	<.tfw/.upstream/.tfw/CHANGELOG.md>	@dynamic	required deltas and migration	0	once	pinned target history	True	False
/tfw-update	after	workflow read contract	.tfw/adapters/manifest.yaml	*	copy/check topology and output form	151	once	tooling metadata/template	False	True
/tfw-update	after	workflow read contract	.tfw/templates/briefing.md	*	copy/check topology and output form	410	once	tooling metadata/template	False	True
/tfw-update	after	pinned target	<pinned target workflow and VERSION>	@dynamic	target-owned update algorithm	0	once	pinned target	True	False
/tfw-update	after	version delta	<intervening changelog and migration ranges>	@dynamic	only required version changes	0	once	pinned target history	True	False
TOTAL	/tfw-update	before=41186	after=2350	reduction=94.3%
/tfw-config	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-config	before	command dispatch	.agents/skills/tfw-config/SKILL.md	*	selected command contract	160	once	adapter	False	True
/tfw-config	before	skill contract	AGENTS.md	*	skill-mandated context	363	repeated	adapter	False	True
/tfw-config	before	skill contract	.tfw/conventions.md	*	skill-mandated context	9361	once	adapter	False	True
/tfw-config	before	skill contract	.tfw/glossary.md	*	skill-mandated context	2355	once	adapter	False	True
/tfw-config	before	skill contract	.tfw/project_config.yaml	*	skill-mandated context	540	once	adapter	False	True
/tfw-config	before	skill contract	.tfw/workflows/config.md	*	skill-mandated context	788	once	adapter	False	True
/tfw-config	before	canonical dispatch	.tfw/workflows/config.md	*	canonical command algorithm	788	repeated	workflow	False	True
/tfw-config	before	legacy mode read	.tfw/project_config.yaml	*	verify or edit source values	540	repeated	project config	False	True
/tfw-config	before	registered range	.tfw/workflows/plan.md	@unresolved:Scope Budget per Phase	only registered inline value locations	0	once	config registry	False	False
/tfw-config	before	registered range	.tfw/workflows/plan.md	@unresolved:Scope Budget per Phase	only registered inline value locations	0	repeated	config registry	False	False
/tfw-config	before	registered range	.tfw/workflows/plan.md	@unresolved:Scope Budget per Phase	only registered inline value locations	0	repeated	config registry	False	False
/tfw-config	before	registered range	.tfw/workflows/plan.md	@unresolved:Scope Budget per Phase	only registered inline value locations	0	repeated	config registry	False	False
/tfw-config	before	registered range	.tfw/workflows/research/base.md	Limits	only registered inline value locations	74	once	config registry	False	True
/tfw-config	before	registered range	.tfw/workflows/research/base.md	Step 2: Select Mode	only registered inline value locations	46	repeated	config registry	False	True
/tfw-config	before	registered range	.tfw/workflows/research/focused.md	Stage Behavior	only registered inline value locations	23	once	config registry	False	True
/tfw-config	before	registered range	.tfw/workflows/research/deep.md	Stage Behavior	only registered inline value locations	28	once	config registry	False	True
/tfw-config	before	registered range	.tfw/workflows/knowledge.md	@unresolved:Limits	only registered inline value locations	0	once	config registry	False	False
/tfw-config	before	registered range	.tfw/workflows/knowledge.md	@unresolved:Limits	only registered inline value locations	0	repeated	config registry	False	False
/tfw-config	before	registered range	.tfw/workflows/knowledge.md	@unresolved:Limits	only registered inline value locations	0	repeated	config registry	False	False
/tfw-config	before	registered range	.tfw/workflows/knowledge.md	@unresolved:Limits	only registered inline value locations	0	repeated	config registry	False	False
/tfw-config	before	registered range	.tfw/workflows/review.md	Step 2: Verify	only registered inline value locations	197	once	config registry	False	True
/tfw-config	before	registered range	.tfw/conventions.md	@unresolved:11) Quality Standard	only registered inline value locations	0	repeated	config registry	False	False
/tfw-config	before	adapter sync	<affected installed adapter targets>	@dynamic	changed config-bearing copies only	0	once	manifest expansion	True	False
/tfw-config	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-config	after	command dispatch	.agents/skills/tfw-config/SKILL.md	*	selected command contract	125	once	adapter	False	True
/tfw-config	after	canonical dispatch	.tfw/workflows/config.md	*	canonical command algorithm	622	once	workflow	False	True
/tfw-config	after	workflow read contract	.tfw/project_config.yaml	*	current source values	540	once	project config	False	True
/tfw-config	after	workflow read contract	.tfw/adapters/manifest.yaml	*	affected copy/check destinations	151	once	tooling metadata	False	True
/tfw-config	after	registered range	.tfw/conventions.md	Scope Budgets (per Phase)	only registered inline value locations	96	once	config registry	False	True
/tfw-config	after	registered range	.tfw/workflows/research/base.md	Limits	only registered inline value locations	74	once	config registry	False	True
/tfw-config	after	registered range	.tfw/workflows/research/focused.md	Stage Behavior	only registered inline value locations	23	once	config registry	False	True
/tfw-config	after	registered range	.tfw/workflows/research/deep.md	Stage Behavior	only registered inline value locations	28	once	config registry	False	True
/tfw-config	after	registered range	.tfw/workflows/review.md	Step 2: Verify	only registered inline value locations	197	once	config registry	False	True
/tfw-config	after	registered range	.tfw/conventions.md	Quality Standard (no compromises)	only registered inline value locations	204	repeated	config registry	False	True
/tfw-config	after	adapter sync	<affected installed adapter targets>	@dynamic	changed config-bearing copies only	0	once	manifest expansion	True	False
TOTAL	/tfw-config	before=15626	after=2423	reduction=84.5%
/tfw-init	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-init	before	command dispatch	.agents/skills/tfw-init/SKILL.md	*	selected command contract	192	once	adapter	False	True
/tfw-init	before	skill contract	AGENTS.md	*	skill-mandated context	363	repeated	adapter	False	True
/tfw-init	before	canonical dispatch	.tfw/workflows/init.md	*	canonical command algorithm	1973	once	workflow	False	True
/tfw-init	before	legacy full-init gate	.tfw/project_config.yaml	*	setup form or adapter mapping	540	once	config/template/tooling metadata	False	True
/tfw-init	before	legacy full-init gate	.tfw/adapters/manifest.yaml	*	setup form or adapter mapping	172	once	config/template/tooling metadata	False	True
/tfw-init	before	legacy full-init gate	.tfw/templates/project_config.yaml	*	setup form or adapter mapping	779	once	config/template/tooling metadata	False	True
/tfw-init	before	legacy full-init gate	.tfw/templates/knowledge_state.yaml	*	setup form or adapter mapping	48	once	config/template/tooling metadata	False	True
/tfw-init	before	legacy full-init gate	.tfw/templates/team/profile.md	*	setup form or adapter mapping	380	once	config/template/tooling metadata	False	True
/tfw-init	before	legacy full-init gate	.tfw/templates/status.md	*	setup form or adapter mapping	1024	once	config/template/tooling metadata	False	True
/tfw-init	before	legacy full-init gate	.tfw/templates/journal/event.md	*	setup form or adapter mapping	1027	once	config/template/tooling metadata	False	True
/tfw-init	before	legacy full-init gate	.tfw/templates/KNOWLEDGE.md	*	setup form or adapter mapping	286	once	config/template/tooling metadata	False	True
/tfw-init	before	legacy full-init gate	.tfw/templates/RF.md	*	setup form or adapter mapping	589	once	config/template/tooling metadata	False	True
/tfw-init	before	routing	<existing task state or selected adapter>	@dynamic	full init versus attach/repair	0	once	task-local/receiver	True	False
/tfw-init	before	discovery	<selected project documentation and structure>	@dynamic	full-init project understanding	0	once	project sources	True	False
/tfw-init	before	research	<selected research workflow and task artifacts>	@dynamic	formal init research	0	once	governing workflow/task	True	False
/tfw-init	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-init	after	command dispatch	.agents/skills/tfw-init/SKILL.md	*	selected command contract	166	once	adapter	False	True
/tfw-init	after	canonical dispatch	.tfw/workflows/init.md	*	canonical command algorithm	782	once	workflow	False	True
/tfw-init	after	workflow read contract	.tfw/project_config.yaml	@task-containers	choose full init versus attach/repair before broad discovery	3	once	filesystem/config/task-local	False	True
/tfw-init	after	workflow read contract	.tfw/adapters/manifest.yaml	*	exact repair mapping and preservation	151	once	tooling metadata/receiver	False	True
/tfw-init	after	workflow read contract	.tfw/templates/project_config.yaml	*	setup forms and pre-write bounds	779	once	templates	False	True
/tfw-init	after	workflow read contract	.tfw/templates/knowledge_state.yaml	*	setup forms and pre-write bounds	48	once	templates	False	True
/tfw-init	after	workflow read contract	.tfw/templates/team/profile.md	*	setup forms and pre-write bounds	380	once	templates	False	True
/tfw-init	after	workflow read contract	.tfw/templates/status.md	*	setup forms and pre-write bounds	416	once	templates	False	True
/tfw-init	after	workflow read contract	.tfw/templates/journal/event.md	*	setup forms and pre-write bounds	339	once	templates	False	True
/tfw-init	after	workflow read contract	.tfw/conventions.md	Identifier	identifier composition and collision refusal	336	once	shared rule	False	True
/tfw-init	after	workflow read contract	.tfw/templates/KNOWLEDGE.md	*	research, knowledge, and result forms	286	once	workflows/templates	False	True
/tfw-init	after	workflow read contract	.tfw/templates/RF.md	*	research, knowledge, and result forms	589	once	workflows/templates	False	True
/tfw-init	after	routing	<existing task state or selected adapter>	@dynamic	full init versus attach/repair	0	once	task-local/receiver	True	False
/tfw-init	after	discovery	<selected project documentation and structure>	@dynamic	full-init project understanding	0	once	project sources	True	False
/tfw-init	after	research	<selected research workflow and task artifacts>	@dynamic	formal init research	0	once	governing workflow/task	True	False
TOTAL	/tfw-init	before=7736	after=4638	reduction=40.0%
/tfw-handoff:revise	before	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-handoff:revise	before	command dispatch	.agents/skills/tfw-handoff/SKILL.md	*	selected command contract	160	once	adapter	False	True
/tfw-handoff:revise	before	canonical dispatch	.tfw/workflows/handoff.md	*	canonical command algorithm	1751	once	workflow	False	True
/tfw-handoff:revise	before	workflow read contract	.tfw/project_config.yaml	@scope-values	implementation-surface ceiling	5	once	project configuration	False	True
/tfw-handoff:revise	before	workflow read contract	.tfw/conventions.md	Task control files	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	259	once	shared rule	False	True
/tfw-handoff:revise	before	workflow read contract	.tfw/conventions.md	Artifact file naming	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	554	repeated	shared rule	False	True
/tfw-handoff:revise	before	workflow read contract	.tfw/conventions.md	Task Statuses	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	1042	repeated	shared rule	False	True
/tfw-handoff:revise	before	workflow read contract	.tfw/conventions.md	Safety and Execution Honesty	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	60	repeated	shared rule	False	True
/tfw-handoff:revise	before	workflow read contract	.tfw/conventions.md	Anti-patterns (prohibited)	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	1058	repeated	shared rule	False	True
/tfw-handoff:revise	before	workflow read contract	.tfw/templates/ONB.md	*	output form	258	once	template	False	True
/tfw-handoff:revise	before	workflow read contract	.tfw/templates/evidence/EV.md	*	output form	267	once	template	False	True
/tfw-handoff:revise	before	workflow read contract	.tfw/templates/RF.md	*	output form	589	once	template	False	True
/tfw-handoff:revise	before	execution input	<selected status, journal, HL, TS, RF, and REVIEW lineage>	@dynamic	governing order and revision state	0	once	task-local/governing artifacts	True	False
/tfw-handoff:revise	before	revision return	<live REVIEW and highest TS lineage>	@dynamic	rung-specific return bound without unchanged rereads	0	once	governing artifacts	True	False
/tfw-handoff:revise	after	root bootstrap	AGENTS.md	*	active root instructions and command route	363	once	root	False	True
/tfw-handoff:revise	after	command dispatch	.agents/skills/tfw-handoff/SKILL.md	*	selected command contract	160	once	adapter	False	True
/tfw-handoff:revise	after	canonical dispatch	.tfw/workflows/handoff.md	*	canonical command algorithm	1751	once	workflow	False	True
/tfw-handoff:revise	after	workflow read contract	.tfw/project_config.yaml	@scope-values	implementation-surface ceiling	5	once	project configuration	False	True
/tfw-handoff:revise	after	workflow read contract	.tfw/conventions.md	Task control files	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	167	once	shared rule	False	True
/tfw-handoff:revise	after	workflow read contract	.tfw/conventions.md	Artifact file naming	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	554	repeated	shared rule	False	True
/tfw-handoff:revise	after	workflow read contract	.tfw/conventions.md	Task Statuses	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	1042	repeated	shared rule	False	True
/tfw-handoff:revise	after	workflow read contract	.tfw/conventions.md	Safety and Execution Honesty	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	60	repeated	shared rule	False	True
/tfw-handoff:revise	after	workflow read contract	.tfw/conventions.md	Anti-patterns (prohibited)	state/event writes, revisions, lifecycle, evidence honesty, prohibitions	1058	repeated	shared rule	False	True
/tfw-handoff:revise	after	workflow read contract	.tfw/templates/ONB.md	*	output form	258	once	template	False	True
/tfw-handoff:revise	after	workflow read contract	.tfw/templates/evidence/EV.md	*	output form	267	once	template	False	True
/tfw-handoff:revise	after	workflow read contract	.tfw/templates/RF.md	*	output form	589	once	template	False	True
/tfw-handoff:revise	after	execution input	<selected status, journal, HL, TS, RF, and REVIEW lineage>	@dynamic	governing order and revision state	0	once	task-local/governing artifacts	True	False
/tfw-handoff:revise	after	revision return	<live REVIEW and highest TS lineage>	@dynamic	rung-specific return bound without unchanged rereads	0	once	governing artifacts	True	False
